category,rating,AvgPrice,ratingCount
Dessert,95,107.6915888,107
Dessert,96,129.862069,58
Dessert,97,196.0833333,36
Dessert,98,192.8571429,14
Dessert,99,211.5,4
Dessert,100,176.4285714,7
Fortified,95,224.5454545,11
Fortified,96,215,4
Fortified,97,375,1
Fortified,98,350,1
Port/Sherry,95,131.244898,49
Port/Sherry,96,198.5714286,28
Port/Sherry,97,162.4761905,21
Port/Sherry,98,232,4
Port/Sherry,99,298.7142857,7
Port/Sherry,100,383.3333333,3
Red,95,112.8285714,1750
Red,96,148.8897397,653
Red,97,180.8338658,313
Red,98,225.8548387,124
Red,99,321.875,40
Red,100,771.0967742,31
Rose,95,47,2
Sparkling,95,152.3740458,131
Sparkling,96,193.1509434,53
Sparkling,97,290.2,25
Sparkling,98,342.5833333,12
Sparkling,99,619,3
Sparkling,100,549.8333333,6
White,95,84.63258786,626
White,96,114.9615385,182
White,97,243.4285714,49
White,98,292.7272727,11
White,99,302,2
White,100,848,1
